Name,Price,Rating,Company,Image URL,Product Link
Nike NikeCourt Zoom Lite DH0626-010,"EGP 2,500.00",N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/912873/1.jpg?5786,https://www.jumia.com.eg//nike-nikecourt-zoom-lite-dh0626-010-37821952.html
Nike RACE DAY WAIST PACK N1000512013,"EGP 1,000.00",N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/339483/1.jpg?6114,https://www.jumia.com.eg//nike-race-day-waist-pack-n1000512013-38493305.html
Nike Air Favorites Big Kids' (Girls') Leggings,EGP 550.00,N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/448262/1.jpg?6189,https://www.jumia.com.eg//nike-air-favorites-big-kids-girls-leggings-26284491.html
Nike Mercurial Vapor 15 Club TF Turf Football Shoes DJ5968 001,"EGP 3,000.00",N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/775344/1.jpg?0857,https://www.jumia.com.eg//nike-mercurial-vapor-15-club-tf-turf-football-shoes-dj5968-001-44357728.html
Nike Viale Shoes Black Aa2185002,"EGP 1,399.00",5 out of 5(1),Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/082052/1.jpg?3965,https://www.jumia.com.eg//nike-viale-shoes-black-aa2185002-25028058.html
Nike Tiempo Legend 9 Club TF Turf Football Shoes DA1193-001,"EGP 2,500.00",N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/055573/1.jpg?3165,https://www.jumia.com.eg//nike-tiempo-legend-9-club-tf-turf-football-shoes-da1193-001-37555027.html
Nike Legging Girl Nike Sportswear Essential Dq8866-010,"EGP 1,250.00",N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/055483/1.jpg?1875,https://www.jumia.com.eg//nike-legging-girl-nike-sportswear-essential-dq8866-010-38455055.html
Nike TEAM HUSTLE D 10 CW6735-002 Multicolor Cw6735-002,"EGP 2,500.00",N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/849483/1.jpg?2584,https://www.jumia.com.eg//nike-team-hustle-d-10-cw6735-002-multicolor-cw6735-002-38494877.html
Nike Victori One Men's Shower Slides CZ5478 001,"EGP 1,249.00",N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/009044/1.jpg?3764,https://www.jumia.com.eg//nike-victori-one-mens-shower-slides-cz5478-001-44090052.html
Nike Juvenate Women's Shoes Blue 724979 405,"EGP 1,175.00",N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/884252/1.jpg?0365,https://www.jumia.com.eg//nike-juvenate-womens-shoes-blue-724979-405-25248894.html
Nike Women's Flex Bijoux Running Shoes For Women  (Grey) 881863005,"EGP 1,575.00",N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/082052/1.jpg?4024,https://www.jumia.com.eg//nike-womens-flex-bijoux-running-shoes-for-women-grey-881863005-25028074.html
Nike Mercurial Superfly 9 Club MG DJ5961-001Soccer Football Shoes,"EGP 3,500.00",N/A,Nike,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/854344/1.jpg?0145,https://www.jumia.com.eg//nike-mercurial-superfly-9-club-mg-dj5961-001soccer-football-shoes-44345880.html
