Name,Price,Rating,Company,Image URL,Product Link
Adidas Ultimashow Running Shoes Black ,1694,4.5,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/ultimashow-running-shoes-black/N43227172V/p/?o=edf734c2aad335df
Adidas Ultimashow Running Shoes ,1694,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/ultimashow-running-shoes/Z57EF565E776D74A7E63BZ/p/?o=z57ef565e776d74a7e63bz-1
Adidas Adilette Aqua Slides ,774,5,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/adilette-aqua-slides/ZD9CC190DF1B0CFBF22CBZ/p/?o=zd9cc190df1b0cfbf22cbz-1
Adidas Duramo 10 Running Shoes ,2074,5,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/duramo-10-running-shoes/Z464F7A6A9444E4D580DCZ/p/?o=z464f7a6a9444e4d580dcz-3
Adidas Adilette Clogs ,1289,5,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/adilette-clogs/ZCC557B0E744BE97F8A47Z/p/?o=zcc557b0e744be97f8a47z-6
Adidas SHOWTHEWAY 2.0 ,1794,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/showtheway-2-0/Z372B93A867F9410D94C2Z/p/?o=z372b93a867f9410d94c2z-9
Adidas Ultimashow Running Shoes ,1694,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/ultimashow-running-shoes/Z815FDF658E10968FE5E1Z/p/?o=z815fdf658e10968fe5e1z-3
Adidas Duramo 10 Running Shoes ,1434,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/duramo-10-running-shoes/Z65C694C8DF013BA7648DZ/p/?o=z65c694c8df013ba7648dz-11
Adidas Duramo 10 Running Shoes ,1419,5,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/duramo-10-running-shoes/Z73DA9EBE6314FEEAB56BZ/p/?o=z73da9ebe6314feeab56bz-11
Adidas Adilette Aqua Slides ,789,5,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/adilette-aqua-slides/Z7029D0534444826C3B6AZ/p/?o=z7029d0534444826c3b6az-7
Adidas Adilette Aqua Slides ,829,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/adilette-aqua-slides/Z387E8D2D10FD68EBFCA1Z/p/?o=z387e8d2d10fd68ebfca1z-7
Adidas Adilette Aqua Slides ,829,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/adilette-aqua-slides/Z1AA75BD1806306B1A2B6Z/p/?o=z1aa75bd1806306b1a2b6z-2
Adidas EQ19 RUN ,1824,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/eq19-run/Z23A8406ACCFF18B765C4Z/p/?o=z23a8406accff18b765c4z-3
Adidas Fluidflow 2.0 Running Shoes ,1729,4.7,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/fluidflow-2-0-running-shoes/Z8CD196D222F59398ADF3Z/p/?o=z8cd196d222f59398adf3z-11
Adidas X Speedportal.3 Turf Football Boots ,3014,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/x-speedportal-3-turf-football-boots/Z47F932E73972D0C53BD3Z/p/?o=z47f932e73972d0c53bd3z-7
Adidas 4DFWD_PULSE 2 M ,2904,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/4dfwd-pulse-2-m/ZAEE22AE98A11D8A810C5Z/p/?o=zaee22ae98a11d8a810c5z-3
Adidas Duramo 10 Running Shoes ,2074,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/duramo-10-running-shoes/Z87D28DFA646911BD30C0Z/p/?o=z87d28dfa646911bd30c0z-2
Adidas Alphabounce Slides ,1609,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/alphabounce-slides/ZDA6F7DF960038FBAF5BBZ/p/?o=zda6f7df960038fbaf5bbz-7
Adidas Web BOOST Running Lifestyle Shoes ,3269,5,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/web-boost-running-lifestyle-shoes/ZE4D34ED3294BA8CD6720Z/p/?o=ze4d34ed3294ba8cd6720z-5
adidas Originals Superstar Shoes ,2359,5,adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/superstar-shoes/Z263D5441872D4AB9C222Z/p/?o=z263d5441872d4ab9c222z-4
adidas Originals GAZELLE SNEAKERS ,2359,N/A,adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/gazelle-sneakers/Z6F25279D63C41815C43FZ/p/?o=z6f25279d63c41815c43fz-7
Adidas adidas 4DFWD 2 Running Shoes ,4174,5,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/adidas-4dfwd-2-running-shoes/Z4B9A74CD581D0F92E6B4Z/p/?o=z4b9a74cd581d0f92e6b4z-2
MEGA SHOES Engraved Sport Sneakers Dark blue- With Light PU-White Sole ,180,N/A,MEGA,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/engraved-sport-sneakers-dark-blue-with-light-pu-white-sole/ZB018A938A0432A0D7904Z/p/?o=zb018a938a0432a0d7904z-2
Adidas Multix Shoes ,3204,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/multix-shoes/ZEF15DBD36C85D5B93EB3Z/p/?o=zef15dbd36c85d5b93eb3z-4
Adidas Unisex Pureboost Running Shoes ,2624,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/unisex-pureboost-running-shoes/Z1C96E9FBE3A79F6B3CA5Z/p/?o=z1c96e9fbe3a79f6b3ca5z-1
Adidas Fluidflow 2.0 Running Shoes Core Black/Grey Six ,3014,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/fluidflow-2-0-running-shoes-core-black-grey-six/N47029083V/p/?o=bbbddc92fa4f17ed
Adidas Swift Run 22 Shoes ,1224,5,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/swift-run-22-shoes/Z851A0C226613433CB588Z/p/?o=z851a0c226613433cb588z-7
Adidas X SPEEDPORTAL MESSI.3 FG ,1729,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/x-speedportal-messi-3-fg/ZD519AEAA6FFE88AC765FZ/p/?o=zd519aeaa6ffe88ac765fz-5
Adidas WEB BOOST ,3269,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/web-boost/ZAF2B48347034114F0032Z/p/?o=zaf2b48347034114f0032z-4
Adidas Adilette Shower Slides ,739,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/adilette-shower-slides/Z32BDDBC2BCCBBC37A44BZ/p/?o=z32bddbc2bccbbc37a44bz-8
adidas Originals ZX 1K BOOST 2.0 ,2274,N/A,adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/zx-1k-boost-2-0/Z182C64EC524A6A6F0A4DZ/p/?o=z182c64ec524a6a6f0a4dz-7
Adidas Swift Run 22 Shoes ,2344,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/swift-run-22-shoes/ZE6A1312EB42B8222851DZ/p/?o=ze6a1312eb42b8222851dz-11
Adidas Predator Edge.3 Low Firm Ground Boots ,1634,5,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/predator-edge-3-low-firm-ground-boots/Z096ECCB3382375677323Z/p/?o=z096eccb3382375677323z-10
adidas Originals Retropy F2 Shoes ,1994,N/A,adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/retropy-f2-shoes/Z0394B83412758019513DZ/p/?o=z0394b83412758019513dz-3
Adidas 4DFWD_PULSE 2 M ,2904,5,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/4dfwd-pulse-2-m/ZC858BCE9F0CDB7174415Z/p/?o=zc858bce9f0cdb7174415z-5
Adidas Run Falcon 2.0 Running Shoes ,1694,5,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/run-falcon-2-0-running-shoes/Z1C690A103C3E32AFE4FFZ/p/?o=z1c690a103c3e32afe4ffz-9
Adidas Ultraboost 19.5 DNA Running Shoes ,3849,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/ultraboost-19-5-dna-running-shoes/Z71FCDBE1EC5480D228D8Z/p/?o=z71fcdbe1ec5480d228d8z-3
Adidas ULTRABOOST 5.0 DNA ,3364,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/ultraboost-5-0-dna/ZCE4C6D0B0551F23C25BBZ/p/?o=zce4c6d0b0551f23c25bbz-3
Adidas Tensaur Sport Training Lace Running Shoes ,1129,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/tensaur-sport-training-lace-running-shoes/Z50EF544FDE90F825771CZ/p/?o=z50ef544fde90f825771cz-7
Adidas X9000L4 Heat.RDY Running Shoes ,2624,5,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/x9000l4-heat-rdy-running-shoes/ZFB76140FFFA93E44129BZ/p/?o=zfb76140fffa93e44129bz-7
Adidas EQ21 Run Running Shoes ,2829,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/eq21-run-running-shoes/Z489955E215EFACECFC97Z/p/?o=z489955e215efacecfc97z-11
Adidas Ultraboost 22 Running Shoes ,4024,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/ultraboost-22-running-shoes/Z2277EE7472B0E5E59578Z/p/?o=z2277ee7472b0e5e59578z-5
Adidas Ultraboost 5.0 DNA Running Shoes ,3849,5,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/ultraboost-5-0-dna-running-shoes/ZDF90E4E9D01C92017CBDZ/p/?o=zdf90e4e9d01c92017cbdz-2
Adidas Duramo 10 Running Shoes ,2074,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/duramo-10-running-shoes/ZC1D075FBF7BF998DC565Z/p/?o=zc1d075fbf7bf998dc565z-8
Adidas Showtheway 2.0 Running Shoes ,1694,5,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/showtheway-2-0-running-shoes/Z62791905DC0481935749Z/p/?o=z62791905dc0481935749z-5
Adidas Swift Run 22 Shoes ,1224,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/swift-run-22-shoes/Z9466480D7AEF89FC4732Z/p/?o=z9466480d7aef89fc4732z-4
Adidas Ultraboost 4.0 DNA Shoes ,2799,4.5,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/ultraboost-4-0-dna-shoes/ZCEC6AA8DFC385769FB2DZ/p/?o=zcec6aa8dfc385769fb2dz-1
Adidas Tensaur Hook and Loop Running Shoes ,1074,5,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/tensaur-hook-and-loop-running-shoes/ZFFC90FFE8402808B6370Z/p/?o=zffc90ffe8402808b6370z-4
Adidas EQ21 Run 2.0 Bounce Sport Running Elastic Lace with Top Strap Running Shoes ,1419,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/eq21-run-2-0-bounce-sport-running-elastic-lace-with-top-strap-running-shoes/Z5AEC3D2D528141A3A798Z/p/?o=z5aec3d2d528141a3a798z-2
Adidas Unisex X9000L2 Running Shoes ,2179,N/A,Adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/unisex-x9000l2-running-shoes/ZE71F02711272E5C0725EZ/p/?o=ze71f02711272e5c0725ez-1
adidas Originals Swift Run 22 Shoes ,1994,N/A,adidas,https://f.nooncdn.com/s/app/com/noon/icons/returns-declined-status-info.svg,https://www.noon.com/egypt-en/swift-run-22-shoes/Z733E15EDCA7169035D5AZ/p/?o=z733e15edca7169035d5az-3
